,idade,periodo,score,exaustao_emocional,descrenca,satisfacao_pessoal,grupo
101,2,7,0.6666666666666666,0.625,0.75,0.625,2
102,2,3,0.75,0.875,0.5,0.875,0
103,2,5,0.4583333333333333,0.25,0.375,0.75,1
104,2,7,0.7916666666666666,0.875,0.75,0.75,2
105,1,7,0.6666666666666666,0.625,0.875,0.5,2
106,2,4,0.08333333333333333,0.0,0.125,0.125,1
107,2,9,0.5833333333333334,0.75,0.375,0.625,2
108,1,1,0.8333333333333334,0.75,0.75,1.0,0
109,1,7,0.2916666666666667,0.125,0.125,0.625,2
110,2,5,0.7083333333333334,0.875,0.5,0.75,1
111,1,7,0.9583333333333334,1.0,1.0,0.875,2
