"genero","idade","curso","periodo","satisfacao","abandono","animacao","descrente potencial","descrente estudos","possui dificuldade"
"Feminino","de 16 a 20","Psicologia","1","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Discordo parcialmente"
"Masculino","de 16 a 20","Ciência da Computação","7","Concordo parcialmente","Discordo completamente","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Feminino","de 16 a 20","Psicologia","1","Concordo completamente","Discordo completamente","Concordo completamente","Concordo parcialmente","Concordo parcialmente","Discordo completamente"
"Masculino","de 21 a 25","Ciência da Computação","9","Concordo parcialmente","Discordo completamente","Concordo completamente","Discordo parcialmente","Discordo parcialmente","Indiferente"
"Feminino","de 21 a 25","Ciência da Computação","11","Discordo parcialmente","Discordo completamente","Concordo completamente","Indiferente","Concordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Ciência da Computação","7","Concordo completamente","Discordo completamente","Concordo completamente","Discordo completamente","Discordo completamente","Concordo parcialmente"
"Feminino","de 21 a 25","Ciência da Computação","5","Discordo parcialmente","Concordo completamente","Discordo parcialmente","Concordo completamente","Concordo parcialmente","Concordo completamente"
"Feminino","de 16 a 20","Ciência da Computação","7","Concordo completamente","Discordo completamente","Concordo completamente","Concordo completamente","Concordo completamente","Concordo parcialmente"
"Masculino","de 21 a 25","Ciência da Computação","9","Concordo parcialmente","Discordo completamente","Concordo completamente","Indiferente","Indiferente","Discordo completamente"
"Masculino","de 21 a 25","Ciência da Computação","7","Indiferente","Indiferente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Ciência da Computação","6","Concordo parcialmente","Discordo completamente","Indiferente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente"
"Feminino","de 16 a 20","Ciência da Computação","1","Concordo parcialmente","Indiferente","Concordo parcialmente","Concordo completamente","Concordo parcialmente","Indiferente"
"Masculino","de 21 a 25","Ciência da Computação","5","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Medicina","3","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Concordo completamente","Concordo parcialmente","Concordo completamente"
